"","1-HR PHOTO","ACCESSORIES","AUTOMOTIVE","BAKERY","BATH AND SHOWER","BEAUTY","BEDDING","BOOKS AND MAGAZINES","BOYS WEAR","BRAS & SHAPEWEAR","CAMERAS AND SUPPLIES","CANDY, TOBACCO, COOKIES","CELEBRATION","COMM BREAD","CONCEPT STORES","COOK AND DINE","DAIRY","DSD GROCERY","ELECTRONICS","FABRICS AND CRAFTS","FINANCIAL SERVICES","FROZEN FOODS","FURNITURE","GIRLS WEAR, 4-6X  AND 7-14","GROCERY DRY GOODS","HARDWARE","HEALTH AND BEAUTY AIDS","HOME DECOR","HOME MANAGEMENT","HORTICULTURE AND ACCESS","HOUSEHOLD CHEMICALS/SUPP","HOUSEHOLD PAPER GOODS","IMPULSE MERCHANDISE","INFANT APPAREL","INFANT CONSUMABLE HARDLINES","JEWELRY AND SUNGLASSES","LADIES SOCKS","LADIESWEAR","LARGE HOUSEHOLD GOODS","LAWN AND GARDEN","LIQUOR,WINE,BEER","MEAT - FRESH & FROZEN","MEDIA AND GAMING","MENS WEAR","MENSWEAR","NULL","OFFICE SUPPLIES","OPTICAL - FRAMES","OPTICAL - LENSES","OTHER DEPARTMENTS","PAINT AND ACCESSORIES","PERSONAL CARE","PETS AND SUPPLIES","PHARMACY OTC","PHARMACY RX","PLAYERS AND ELECTRONICS","PLUS AND MATERNITY","PRE PACKED DELI","PRODUCE","SEAFOOD","SEASONAL","SERVICE DELI","SHEER HOSIERY","SHOES","SLEEPWEAR/FOUNDATIONS","SPORTING GOODS","SWIMWEAR/OUTERWEAR","TOYS","WIRELESS"
"1-HR PHOTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCESSORIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUTOMOTIVE",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAKERY",2,51,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATH AND SHOWER",3,58,70,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAUTY",6,179,268,508,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEDDING",0,19,40,88,247,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOOKS AND MAGAZINES",0,11,25,62,27,125,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOYS WEAR",1,46,40,112,105,235,46,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAS & SHAPEWEAR",0,64,21,72,54,232,31,25,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
